Branch_ID,Branch_Name,City,State,IFSC_Code,Branch_Manager,Address
BR0001,"Jodhpur Branch 1",Jodhpur,Rajasthan,BANK000001,"Arjun Malhotra","285, MG Road"
BR0002,"Mumbai Branch 2",Mumbai,Maharashtra,BANK000002,"Suresh Choudhary","287, MG Road"
BR0003,"Pune Branch 3",Pune,Maharashtra,BANK000003,"Ankit Yadav","822, Station Road"
BR0004,"Pune Branch 4",Pune,Maharashtra,BANK000004,"Meena Tiwari","982, Station Road"
BR0005,"Chennai Branch 5",Chennai,"Tamil Nadu",BANK000005,"Rohit Saini","449, Market Road"
BR0006,"Jaipur Branch 6",Jaipur,Rajasthan,BANK000006,"Manish Gupta","353, MG Road"
BR0007,"Indore Branch 7",Indore,"Madhya Pradesh",BANK000007,"Vikas Bansal","542, Main Road"
BR0008,"Jodhpur Branch 8",Jodhpur,Rajasthan,BANK000008,"Neha Malhotra","54, Market Road"
BR0009,"Surat Branch 9",Surat,Gujarat,BANK000009,"Simran Verma","983, Station Road"
BR0010,"Pune Branch 10",Pune,Maharashtra,BANK000010,"Pooja Bansal","859, Main Road"
BR0011,"Bengaluru Branch 11",Bengaluru,Karnataka,BANK000011,"Neha Joshi","711, Market Road"
BR0012,"Indore Branch 12",Indore,"Madhya Pradesh",BANK000012,"Pooja Singh","862, Main Road"
BR0013,"Chennai Branch 13",Chennai,"Tamil Nadu",BANK000013,"Manish Bansal","288, Market Road"
BR0014,"Surat Branch 14",Surat,Gujarat,BANK000014,"Rohit Mishra","204, MG Road"
BR0015,"Surat Branch 15",Surat,Gujarat,BANK000015,"Karan Singh","572, Market Road"
BR0016,"Jodhpur Branch 16",Jodhpur,Rajasthan,BANK000016,"Sneha Gupta","920, Main Road"
BR0017,"Hyderabad Branch 17",Hyderabad,Telangana,BANK000017,"Meena Mishra","346, Station Road"
BR0018,"Kota Branch 18",Kota,Rajasthan,BANK000018,"Neha Mehta","69, MG Road"
BR0019,"Indore Branch 19",Indore,"Madhya Pradesh",BANK000019,"Nikhil Mishra","714, Main Road"
BR0020,"Kota Branch 20",Kota,Rajasthan,BANK000020,"Komal Mishra","553, Main Road"
BR0021,"Kolkata Branch 21",Kolkata,"West Bengal",BANK000021,"Manish Singh","354, Station Road"
BR0022,"Chandigarh Branch 22",Chandigarh,Chandigarh,BANK000022,"Rohit Jain","422, MG Road"
BR0023,"Mumbai Branch 23",Mumbai,Maharashtra,BANK000023,"Karan Patel","860, Main Road"
BR0024,"Jaipur Branch 24",Jaipur,Rajasthan,BANK000024,"Meena Joshi","592, Market Road"
BR0025,"Mumbai Branch 25",Mumbai,Maharashtra,BANK000025,"Priya Verma","372, Main Road"
BR0026,"Bengaluru Branch 26",Bengaluru,Karnataka,BANK000026,"Arjun Saini","300, Market Road"
BR0027,"Alwar Branch 27",Alwar,Rajasthan,BANK000027,"Arjun Tiwari","564, Station Road"
BR0028,"Indore Branch 28",Indore,"Madhya Pradesh",BANK000028,"Vivek Patel","933, Market Road"
BR0029,"Lucknow Branch 29",Lucknow,"Uttar Pradesh",BANK000029,"Priya Choudhary","202, MG Road"
BR0030,"Jodhpur Branch 30",Jodhpur,Rajasthan,BANK000030,"Riya Malhotra","915, Station Road"
BR0031,"Hyderabad Branch 31",Hyderabad,Telangana,BANK000031,"Vivek Choudhary","616, Market Road"
BR0032,"Kota Branch 32",Kota,Rajasthan,BANK000032,"Nikhil Malhotra","917, Main Road"
BR0033,"Pune Branch 33",Pune,Maharashtra,BANK000033,"Deepak Patel","747, Main Road"
BR0034,"Chennai Branch 34",Chennai,"Tamil Nadu",BANK000034,"Deepak Saini","82, Market Road"
BR0035,"Chandigarh Branch 35",Chandigarh,Chandigarh,BANK000035,"Neha Rathore","325, MG Road"
BR0036,"Chennai Branch 36",Chennai,"Tamil Nadu",BANK000036,"Suresh Choudhary","774, Main Road"
BR0037,"Lucknow Branch 37",Lucknow,"Uttar Pradesh",BANK000037,"Komal Saini","856, Station Road"
BR0038,"Alwar Branch 38",Alwar,Rajasthan,BANK000038,"Rahul Yadav","402, Main Road"
BR0039,"Jaipur Branch 39",Jaipur,Rajasthan,BANK000039,"Riya Singh","148, Main Road"
BR0040,"Ahmedabad Branch 40",Ahmedabad,Gujarat,BANK000040,"Shreya Malhotra","859, Station Road"
BR0041,"Bengaluru Branch 41",Bengaluru,Karnataka,BANK000041,"Rohit Gupta","564, MG Road"
BR0042,"Pune Branch 42",Pune,Maharashtra,BANK000042,"Kavita Saini","923, MG Road"
BR0043,"Chennai Branch 43",Chennai,"Tamil Nadu",BANK000043,"Shreya Patel","894, Market Road"
BR0044,"Udaipur Branch 44",Udaipur,Rajasthan,BANK000044,"Arjun Kumar","537, Main Road"
BR0045,"Kota Branch 45",Kota,Rajasthan,BANK000045,"Rahul Mehta","234, Market Road"
BR0046,"Bengaluru Branch 46",Bengaluru,Karnataka,BANK000046,"Riya Agarwal","815, Market Road"
BR0047,"Bengaluru Branch 47",Bengaluru,Karnataka,BANK000047,"Arjun Verma","415, MG Road"
BR0048,"Delhi Branch 48",Delhi,Delhi,BANK000048,"Manish Mishra","513, MG Road"
BR0049,"Surat Branch 49",Surat,Gujarat,BANK000049,"Pooja Gupta","244, Main Road"
BR0050,"Ahmedabad Branch 50",Ahmedabad,Gujarat,BANK000050,"Ankit Yadav","299, Market Road"
BR0051,"Chandigarh Branch 51",Chandigarh,Chandigarh,BANK000051,"Vivek Mehta","50, MG Road"
BR0052,"Surat Branch 52",Surat,Gujarat,BANK000052,"Rohit Yadav","660, Main Road"
BR0053,"Chennai Branch 53",Chennai,"Tamil Nadu",BANK000053,"Priya Singh","699, Main Road"
BR0054,"Hyderabad Branch 54",Hyderabad,Telangana,BANK000054,"Amit Singh","570, MG Road"
BR0055,"Kota Branch 55",Kota,Rajasthan,BANK000055,"Anjali Joshi","504, Main Road"
BR0056,"Alwar Branch 56",Alwar,Rajasthan,BANK000056,"Sneha Mishra","132, Station Road"
BR0057,"Surat Branch 57",Surat,Gujarat,BANK000057,"Riya Rathore","321, Station Road"
BR0058,"Kota Branch 58",Kota,Rajasthan,BANK000058,"Shreya Jain","815, Market Road"
BR0059,"Surat Branch 59",Surat,Gujarat,BANK000059,"Priya Choudhary","512, MG Road"
BR0060,"Chennai Branch 60",Chennai,"Tamil Nadu",BANK000060,"Sneha Patel","777, Main Road"
BR0061,"Hyderabad Branch 61",Hyderabad,Telangana,BANK000061,"Anjali Rathore","798, Market Road"
BR0062,"Chennai Branch 62",Chennai,"Tamil Nadu",BANK000062,"Simran Malhotra","638, Main Road"
BR0063,"Mumbai Branch 63",Mumbai,Maharashtra,BANK000063,"Nikhil Kumar","425, MG Road"
BR0064,"Udaipur Branch 64",Udaipur,Rajasthan,BANK000064,"Manish Sharma","746, Station Road"
BR0065,"Hyderabad Branch 65",Hyderabad,Telangana,BANK000065,"Priya Choudhary","893, Market Road"
BR0066,"Ahmedabad Branch 66",Ahmedabad,Gujarat,BANK000066,"Rahul Malhotra","763, Market Road"
BR0067,"Udaipur Branch 67",Udaipur,Rajasthan,BANK000067,"Karan Bansal","128, Main Road"
BR0068,"Chandigarh Branch 68",Chandigarh,Chandigarh,BANK000068,"Neha Gupta","327, Station Road"
BR0069,"Alwar Branch 69",Alwar,Rajasthan,BANK000069,"Shreya Joshi","170, Main Road"
BR0070,"Jodhpur Branch 70",Jodhpur,Rajasthan,BANK000070,"Rohit Patel","837, Main Road"
BR0071,"Lucknow Branch 71",Lucknow,"Uttar Pradesh",BANK000071,"Neha Agarwal","404, Main Road"
BR0072,"Jaipur Branch 72",Jaipur,Rajasthan,BANK000072,"Vikas Mishra","777, Main Road"
BR0073,"Hyderabad Branch 73",Hyderabad,Telangana,BANK000073,"Kavita Verma","101, Station Road"
BR0074,"Bhopal Branch 74",Bhopal,"Madhya Pradesh",BANK000074,"Riya Singh","23, Market Road"
BR0075,"Surat Branch 75",Surat,Gujarat,BANK000075,"Karan Choudhary","358, Main Road"
BR0076,"Kota Branch 76",Kota,Rajasthan,BANK000076,"Deepak Yadav","735, Main Road"
BR0077,"Kolkata Branch 77",Kolkata,"West Bengal",BANK000077,"Riya Bansal","93, Market Road"
BR0078,"Ahmedabad Branch 78",Ahmedabad,Gujarat,BANK000078,"Karan Joshi","829, Station Road"
BR0079,"Surat Branch 79",Surat,Gujarat,BANK000079,"Sneha Choudhary","202, Market Road"
BR0080,"Delhi Branch 80",Delhi,Delhi,BANK000080,"Komal Jain","514, Station Road"
BR0081,"Ahmedabad Branch 81",Ahmedabad,Gujarat,BANK000081,"Rohit Saini","387, Station Road"
